# of units,City,Area,Address,Strata Name,Postal Code,Strata Plan #,Current Management text,Construction,Year built,Link
213,Vancouver,Downtown,1068 Hornby Street,Canadian,V6Z 2Y7,LMS4157,Crosby ,Concrete,1998,http://www.vancouvercondos.com/Canadian
255,Vancouver,Downtown,550 Taylor Street,Taylor,V6B 1R1,BCS1559,Wynford Group,Concrete,2006,http://www.vancouvercondos.com/Taylor
372,Vancouver,Downtown,833 Seymour Street,Capitol Residences,V6B 0G4,BCS3995,Crosby,Concrete,2011,http://www.vancouvercondos.com/CapitolResidences
82,Vancouver,Downtown,822 Seymour Street,L'Aria,V6B 1L7,BCS1076,Rancho,Concrete,2004,http://www.vancouvercondos.com/Laria
75,Vancouver,Downtown,1252 Hornby Street,Pure, V6Z 1W2,BCS3215,Baywest,Concrete,2007,http://www.vancitycondo.com/pure-1252-hornby-street-vancouver
118,Vancouver,Downtown,55 E Cordova Street,Koret,V6A 0A5, BCS2025,Pacifica First,Concrete,2006,http://www.vancitycondo.com/koret-55-e-cordova-street-vancouver
180,Burnaby,Highgate,6688 Arcola Street,Luma,V5E 0B3, BCS4066,unlisted,Concrete,2011,http://www.burnabycondo.com/luma-6688-arcola-street-burnaby
82,Vancouver,Downtown,1 E Cordova Street,Carrall Station,V6A 4H3, LMS2854,Crosby,Concrete,1997,http://www.vancitycondo.com/carrall-station-1-e-cordova-street-vancouver
132,Vancouver,Yaletown,1067 Marinaside Crescent,Quaywest 2, V6Z 3A4, LMS4555,Crosby,Concrete,2001,http://bccondos.net/citybuilding-vancouver-west/quaywest-ii
120,Burnaby,Government Road,9101 Horne Street,Woodstone Place,V3N 4L7, NWS462,STRATACO  ,Wood Frame,1977,http://www.burnabycondo.com/woodstone-place-9101-horne-street-burnaby
20,Vancouver,Downtown,41 Alexander Street,Captain French,V6A 1B2, VAS2797,Self Managed,Concrete,1991,http://www.vancitycondo.com/captain-french-41-alexander-street-vancouver
81,Vancouver,Coal Harbour,277 Thurlow Street,Three Harbour Green,V6C 0C1,EPS677,Macdonald Commercial,Concrete,2012,http://bccondos.net/277-thurlow
39,Burnaby,Metrotown,5211 Grimmer Street,Oakterra,V5H 0A6,BCS3628,Gammon,Wood Frame,2009,http://www.burnabycondo.com/oakterra-5211-grimmer-street-burnaby
197,Coquitlam,Westwood Plateau,3050 Dayanee Springs Boulevard,"Dayanee Springs ""Bridges""",,BCS3132,Gateway,Frame - Wood,2010,http://bccondos.net/dayanee-springs
34,Vancouver,Downtown,12 Water Street,Garage,V6B 1A4,BCS3647,n/a,Concrete,2009,http://www.vancitycondo.com/garage-12-water-street-vancouver
38,Burnaby,Highgate,7645 - 7655 Edmonds Street,Bella,V3N 1B6,BCP34927,R. Jang & Associates,Wood Frame,2010,http://www.burnabycondo.com/bella-7645-7655-edmonds-street-burnaby
30,Vancouver,Downtown,53 W Hastings Street,Paris Block,V6B 1G4,BCS3221,Rancho PM ,Concrete,2008,
28,Burnaby,Metrotown,7227 Royal Oak Avenue,Viva,V5J 4J8,BCP44081,Croft,Wood Frame,2011,http://www.burnabycondo.com/viva-7227-royal-oak-avenue-burnaby
98,Burnaby,Metrotown,6168 Wilson Avenue,Jewel II,V5H 0B2,EPS727,unlisted,Concrete,2012,http://www.burnabycondo.com/jewel-2-6168-wilson-avenue-burnaby
204,Vancouver,Downtown,535 Smithe Street,Dolce,V6B 0E2,BCS3925,Crosby,Concrete,2011,http://www.vancouvercondos.com/Dolce
60,Burnaby,Metrotown,6888 Royal Oak Avenue,Kabana,V5J 4J2,BCS4499,TBD  ,Wood Frame,2012,http://www.burnabycondo.com/kabana-6888-royal-oak-avenue-burnaby
180,Burnaby,Metrotown,5661 - 5775 Irmin Street,MacPherson Walk West,V5J 0C4,BCP35258,Crosby,Wood Frame,2009,http://www.burnabycondo.com/macpherson-walk-west-5661-5775-irmin-street-burnaby
120,Burnaby,Metrotown,5788 Sidley Street,MacPherson Walk III,V6C 1H2,BCP46669,TBD  ,Wood Frame,2012,http://www.burnabycondo.com/macpherson-walk-3-5788-sidley-street-burnaby
245,Burnaby,Metrotown,4880 Bennett Street,Chancellor,V5H 4P6,BCP47866,TBD  ,Concrete,2013,http://www.burnabycondo.com/chancellor-4880-bennett-street-burnaby
248,New Westminster,Downtown,271 Francis Way,Parkside,,BCP51633,,,,http://bccondos.net/parkside
432,Vancouver,Downtown,610 Granville Street,Hudson,V6C 3J3,BCP975,Macdonald Commercial,Concrete,2006,http://www.vancouvercondos.com/TheHudson
160,Burnaby,Metrotown,4333 Central Boulevard,Presidia,V5H 4W8,BCS1058,Colliers,Concrete,2004,http://www.burnabycondo.com/presidia-4333-central-boulevard-burnaby
59,Vancouver,Downtown,1275 Hamilton Street,Alda,V6B 6K3,BCS106,,Concrete,2002,http://www.vancouvercondos.com/Alda
126,Vancouver,Coal Harbour,1281 W Cordova Street,Callisto,V6C 3R5,BCS1073,Colliers,Concrete,2005,http://bccondos.net/callisto
173,Vancouver,Yaletown,455 Beach Crescent,Parkwest 1, V6Z 3E5,BCS1099,Rancho,Concrete,2005,http://bccondos.net/park-west
234,Vancouver,Downtown,1155 - 1199 Seymour Street,Brava,V6B 1K3,BCS1172,Baywest ,Concrete,2005,http://www.vancouvercondos.com/Brava1
62,Vancouver,Mount Pleasant,919 Station Street,Left Bank, V6A 4L9,BCS1199,Strata West,Concrete,2005,http://bccondos.net/the-left-bank
40,Burnaby,Highgate,7000 21st Avenue,Villetta,V5E 2Y9,BCS1213,Crosby ,Wood Frame,2005,http://www.burnabytownhouse.com/villetta-7000-21-avenue-burnaby
175,Vancouver,Yaletown,583 Beach Crescent,Parkwest 2,V6Z 3E6,BCS1219,Crosby,Concrete,2005,http://bccondos.net/two-park-west
130,Vancouver,Coal Harbour,1077 W Cordova Street,Shaw Tower,V6C 2C6,BCS1233,Awm Alliance,Concrete,2005,http://bccondos.net/shaw-tower
297,Coquitlam,Westwood Plateau,2959 Silver Springs Boulevard,"Silver Springs ""Tantalus""",,BCS1293,Gateway,Frame - Wood,2007,http://bccondos.net/2959-silver-springs
285,Coquitlam,Westwood Plateau,2968 Silver Springs Boulevard,"Silver Springs ""Tamarisk""",,BCS1293,Gateway,Frame - Wood,2005,http://bccondos.net/2968-silver-springs
237,Coquitlam,Westwood Plateau,2951 Silver Springs Boulevard,"Silver Springs ""Tantalus""",,BCS1293,Gateway,Frame - Wood,2007,http://bccondos.net/tantalus
141,Coquitlam,Westwood Plateau,2958 Silver Springs Boulevard,"Silver Springs ""Tamarisk""",,BCS1293,Gateway,Frame - Wood,2005,http://bccondos.net/2958-silver-springs
141,Coquitlam,Westwood Plateau,2966 Silver Springs Boulevard,"Silver Springs ""Tamarisk""",,BCS1293,Gateway,Frame - Wood,2005,http://bccondos.net/2966-silver-springs
237,New Westminster,Quayside,7 Rialto Court & 10 Renaissance Square,Murano Lofts,V3M 7A8,BCS1347,Rancho,Concrete,2005,http://bccondos.net/7-rialto
150,Vancouver,Downtown,1001 Homer Street,Bentley,V6B 1M9,BCS1399,Crosby ,Concrete,2005,http://www.vancouvercondos.com/Bentley
139,Vancouver,Downtown,938 Smithe Street,Electric Avenue,V6Z 3G4,BCS1433,Crosby,Concrete,2007,http://www.vancouvercondos.com/ElectricAvenueHornby
526,Vancouver,Downtown,928 Beatty Street,Max, V6Z 3G6,BCS1437,Rancho ,Concrete,2005,http://bccondos.net/the-max
284,Vancouver,Downtown,939 Expo Boulevard,Max, V6Z 3G6,BCS1437,Rancho ,Concrete,2005,http://www.vancouvercondos.com/Max1
187,Burnaby,Highgate,7178 Collier Street,Arcadia,V5E 4N7,BCS1461,Alliance,Concrete,2005,http://www.burnabycondo.com/arcadia-7178-collier-street-burnaby
211,Vancouver,Downtown,1295 Richards Street,Oscar,V6B 1B7,BCS147,Vancouver Condominium,Concrete,2002,http://www.vancouvercondos.com/Oscar
68,Burnaby,Highgate,7138 Collier Street,Stanford House,V5E 0A2,BCS1479,AWM Alliance,Concrete,2005,http://www.burnabycondo.com/stanford-house-7138-collier-street-burnaby
147,Vancouver,Yaletown,550 Pacific Street,Aqua At The Park,V6Z 3G2,BCS1570,Crosby,Concrete,2005,http://bccondos.net/aqua-at-the-park
158,Vancouver,Yaletown,426 - 428 Beach Crescent,King's Landing West,V6Z 3E9,BCS1589,Rancho,Concrete,2005,http://bccondos.net/citybuilding-vancouver-west/428-beach
158,Vancouver,Yaletown,426 - 428 Beach Crescent,Kings Landing - West Tower,V6Z 3E9,BCS1589,Rancho,Concrete,2005,http://bccondos.net/428-beach
158,Vancouver,Yaletown,1515 Homer Mews,King's Landing South,V6Z 3E8,BCS1589,Strata West,Concrete,2005,http://bccondos.net/kings-landing
76,Vancouver,Mount Pleasant,189 National Avenue,Sussex,V6A 4L8,BCS1644,Crosby,Concrete,2006,http://bccondos.net/sussex
72,New Westminster,Victoria Hill,14 Royal Avenue,Victoria Hill,V3L 0C7,BCS1676,Baywest,Frame -Wood,2013,http://bccondos.net/14-royal
180,Vancouver,Coal Harbour,1333 W Georgia Street,Qube,V6E 4V3,BCS1697,Vancouver Condo,Concrete,2006,http://bccondos.net/qube
178,Burnaby,Highgate,7108 Collier Street,Arcadia West,V5E 3A8,BCS1772,Crosby,Concrete,2006,http://www.burnabycondo.com/arcadia-west-7108-collier-street-burnaby
57,Vancouver,Coal Harbour,1169 W Cordova Street,One Harbour Green, V6C 3T1,BCS1777,Strataco,Concrete,2006,http://bccondos.net/one-harbour-green
106,Vancouver,Downtown,480 Robson Street,Robson and Richards,V6B 2B5,BCS1783,Crosby ,Concrete,2006,http://www.vancouvercondos.com/RobsonRichards
230,New Westminster,Downtown,813 & 833 Agnes Street,News,V3M 1H3,BCS1809,Gateway West,Frame - Concrete,2006,http://bccondos.net/833-agnes
75,Vancouver,Coal Harbour,1616 Bayshore Drive,Bayshore Gardens, V6G 3L1,BCS1820,Crosby,Concrete,2006,http://bccondos.net/bayshore-gardens
246,Vancouver,Yaletown,1408 Strathmore Mews,West One,V6Z 3A9,BCS183,Rancho,Concrete,2003,http://bccondos.net/1408-strathmore
182,Vancouver,Downtown,1082 Seymour Street,Freesia,V6B 1X9,BCS1903,Rancho ,Concrete,2006,http://www.vancouvercondos.com/Freesia?locale=en
52,Vancouver,Downtown,988 Richards Street,Tribeca Lofts,V6B 8R2,BCS1920,Vancouver Condominium,Concrete,2006,http://www.vancouvercondos.com/TribecaLofts
176,Vancouver,Yaletown,638 Beach Crescent,Icon 1,V6Z 3H4,BCS1964,Rancho,Concrete,2006,http://bccondos.net/icon
53,Vancouver,Yaletown,633 Kinghorne Mews,Icon 2,V6Z 3H3,BCS1964,Rancho,Concrete,2006,http://bccondos.net/633-kinghorne-mews
169,Burnaby,Metrotown,7388 MacPherson Avenue,Acacia Gardens,V5J 0A1,BCS1997,Aragon,Wood Frame,2006,http://www.burnabytownhouse.com/acacia-gardens-7388-macpherson-avenue-burnaby
299,Vancouver,Downtown,928 Homer Street,Yaletown Park 1,V6B 1T7,BCS2103,Crosby,Concrete,2006,http://www.vancouvercondos.com/YaletownParkTower1
31,Vancouver,Yaletown,628 Kinghorne Mews,Silver Sea,V6Z 3H6,BCS2128,Rancho,Concrete,2006,http://bccondos.net/628-kinghorne-1
309,Vancouver,Downtown,909 Mainland Street,Yaletown Park 2,,BCS2143,Crosby,Concrete,2007,http://www.vancouvercondos.com/YaletownParkTower2
270,Vancouver,Downtown,977 Mainland Street,Yaletown Park 3,V6B 1T2,BCS2143,Crosby ,Concrete,2007,http://www.vancouvercondos.com/YaletownParkTower3
62,Burnaby,Government Road,9233 Government Street,Sandlewood - Phase I,V3N 4R5,BCS2174,Martello Property,Wood Frame,2007,http://www.burnabycondo.com/sandlewood-phase-i-9233-government-street-burnaby
212,Burnaby,Highgate,7063 Hall Avenue,Emerson,V5E 0A5,BCS2183,Gateway,Concrete,2006,http://bccondos.net/7063-hall
38,Vancouver,Downtown,528 Beatty Street,Bowman Block,V6B 2L3,BCS2186,Rancho,Concrete,1906,http://www.vancouvercondos.com/BowmanLofts?locale=en
174,Vancouver,Downtown,58 Keefer Place,Firenze,V6B 0B8,BCS2313,Colyvan Pacific ,Concrete,2007,http://www.vancouvercondos.com/Firenze1
174,Vancouver,Downtown,618 - 688 Abbott Street,Firenze,V6B 0B8,BCS2313,Colyvan Pacific ,Concrete,2007,http://www.vancouvercondos.com/Firenze1
240,Vancouver,Coal Harbour,1189 Melville Street,Melville,V6E 4T8,BCS2321,Rancho,Concrete,2007,http://bccondos.net/the-melville
38,Vancouver,Downtown,531 Beatty Street,Metroliving,V6B 0C5,BCS2375,AWM Alliance,Concrete,2007,http://www.vancouvercondos.com/531Beatty
154,New Westminster,Downtown,610 Victoria Street,The Point,V3M 0A5,BCS2429,Baywest,Concrete,2007,http://bccondos.net/the-point
185,New Westminster,Victoria Hill,11 East Royal Avenue & 15 Royal Avenue,Victoria Hill,V3L 0C7,BCS2450,Rancho,Concrete,2007,http://bccondos.net/victoria-hill
15,Vancouver,Downtown,1180 Homer Street,Mcmaster Building,V6B 2X6,BCS2462,IJM Properties,Concrete,2007,http://www.vancouvercondos.com/McMaster/building/building/sold?id=260#
443,Vancouver,Yaletown,668 Citadel Parade,Spectrum 2,V6B 1W6,BCS2478,Rancho,Concrete,2007,http://bccondos.net/spectrum-2
219,Vancouver,Downtown,111 W Georgia Street,Spectrum 1,V6B 1T8,BCS2478,Rancho ,Concrete,2007,http://www.vancouvercondos.com/SpectrumTowerA
123,New Westminster,Downtown,814 Royal Avenue,News North,V3M 1K2,BCS2485,Assertive,Concrete,2007,http://bccondos.net/news-north
139,Vancouver,Yaletown,1455 Howe Street,Pomaria, V6Z 1C2,BCS2495,Rancho,Concrete,2007,http://bccondos.net/citybuilding-vancouver-west/pomaria?w=150&h=150&t=y&mls=1
140,Vancouver,Coal Harbour,1205 W Hastings Street,Cielo,V6E 4T7,BCS2555,Colliers,Concrete,2007,http://bccondos.net/cielo
60,Vancouver,Downtown,538 Smithe Street,Mode,V6B 0A6,BCS2557,Colyvan Pacific Real Estate,Concrete,2008,http://www.vancouvercondos.com/MoDe?locale=en
165,Vancouver,Mount Pleasant,125 Milross Avenue,Creekside,V6A 0A1,BCS2563,Rancho,Concrete,2007,http://bccondos.net/125-milross
27,Vancouver,Downtown,1228 Homer Street,Ellison,V6B 2Y5,BCS2588,Re/Max,Concrete,2007,http://www.vancouvercondos.com/Ellison
243,Vancouver,Downtown,602 Citadel Parade,Spectrum 4,V6B 1X2,BCS2611,Rancho ,Concrete,2007,http://www.vancouvercondos.com/SpectrumTowerD
332,Burnaby,Central Burnaby,5611 Goring Street,Legacy South,V5B 0A3,BCS2622,Wynford Group,concrete,2008,http://bccondos.net/5611-goring
178,Burnaby,Central Burnaby,2225 Holdom Avenue,Legacy Towers I,V5B 3A4,BCS2622,Wynford Group,Concrete,2008,http://www.burnabycondo.com/legacy-towers-i-2225-holdom-avenue-burnaby
86,Vancouver,Yaletown,980 Cooperage Way,Coopers Pointe,V6B 0C3,BCS2646,Rancho,Concrete,2007,http://bccondos.net/coopers-pointe
37,New Westminster,Victoria Hill,290 Francis Way,The Grove at Victoria Hills,V3L 5E8,BCS2702,not Baywest,Frame -Wood,2008,http://bccondos.net/290-francis
,New Westminster,Fraserview,245/255/265/270/275/285 Ross Drive / 270 Francis Way,The Grove,,BCS2702,,,,
229,Vancouver,Downtown,1255 Seymour Street,Elan,V6B 0H1,BCS2756,Crosby ,Concrete,2008,http://www.vancouvercondos.com/Elan
9,New Westminster,Victoria Hill,12 East Royal Avenue,Nurses Lodge at Victoria Hill,V3L 0B7,BCS2772,Baywest,Frame -Wood,1920,http://bccondos.net/nurses-lodge-at-victoria-hill
122,New Westminster,Downtown,39 6th Street,Quantum,V3M 1C8,BCS2781,Awn Alliance,Concrete,2008,http://bccondos.net/quantum
204,Vancouver,Downtown,788 Richards Street,L'hermitage,V6B 0C7,BCS2835,Stratawest,Concrete,2007,http://www.vancouvercondos.com/LHermitage
213,Burnaby,Highgate,7088 Salisbury Avenue,West,V5E 0A4,BCS2855,  604 REAL ESTATE,Concrete,2008,http://bccondos.net/west
112,Vancouver,Coal Harbour,1188 W Pender Street,Sapphire,V6E 0A2,BCS2936,Baywest,Concrete,2008,http://bccondos.net/sapphire
150,Vancouver,Downtown,821 Cambie Street,Raffles,V6B 0E3,BCS2982,Crosby,Concrete,2008,http://www.vancouvercondos.com/RafflesOnRobson
71,Vancouver,Coal Harbour,1139 West Cordova Street,Two Harbour Green,V6C 0A1,BCS3025,Macdonald Realty,Concrete,2008,http://bccondos.net/two-harbour-green
135,Burnaby,Highgate,6659 Southoaks Crescent,Gemini II,V5E 4M9,BCS304,Vancouver Condo,Concrete,2003,http://www.burnabytownhouse.com/gemini-ii-6659-southoaks-crescent-burnaby
172,Vancouver,Coal Harbour,1211 Melville Street,Ritz, V6E 0A7,BCS3053,Baywest,Concrete,2008,http://bccondos.net/the-ritz
107,Burnaby,Metrotown,7337 - 7339 MacPherson Avenue,Cadence,V5J 0A9,BCS3054,Wynford Group,Wood Frame,2008,http://bccondos.net/cadence
32,Vancouver,Downtown,1072 Hamilton Street,Crandall,V6B 2R9,BCS3127,Re/Max ,Concrete,2000,http://www.vancouvercondos.com/CrandallBuilding
156,Coquitlam,Westwood Plateau,3082 Dayanee Springs Boulevard,Dayanee Springs Lanterns,,BCS3132,Gateway,Frame - Wood,2009,http://bccondos.net/3082-dayanee-springs
128,Coquitlam,Westwood Plateau,1322 Genest Way,"Dayanee Springs ""Lanterns""",,BCS3132,Gateway,Frame - Wood,2008,http://bccondos.net/lanterns
127,Coquitlam,Westwood Plateau,1330 Genest Way,"Dayanee Springs ""Lanterns""",,BCS3132,Gateway,Frame - Wood,2008,http://bccondos.net/the-lanterns
52,Vancouver,Coal Harbour,1277 Melville Street,Flatiron,V6E 2S8,BCS3178,Gateway,Concrete,2008,http://bccondos.net/flatiron
75,New Westminster,Downtown,850 Royal Avenue,Royalton,V3M 1K2,BCS318,Baywest,Concrete,2003,http://bccondos.net/the-royalton
150,New Westminster,Quayside,1 Renaissance Square,Q,V3M 6N8,BCS3207,Aragon,Concrete,2009,http://bccondos.net/q-at-westminster-quay
57,Vancouver,Downtown,540 Beatty Street,Crane Building,V6B 2N7,BCS3240,Townline,Concrete,2009,http://www.vancouvercondos.com/540Beatty
86,Vancouver,Yaletown,1328 Marinaside Crescent,Concord,V6Z 3B3,BCS327,Rancho,Concrete,2003,http://bccondos.net/citybuilding-vancouver-west/the-concord
93,Vancouver,Coal Harbour,1233 W Cordova Street,Carina,V6C 3R1,BCS334,Colliers,Concrete,2003,http://bccondos.net/carina
64,Vancouver,Downtown,33 W Pender Street,33,V6B 0E5,BCS3386,Crosby,Concrete,2008,http://www.vancitycondo.com/33-33-w-pender-street-vancouver
152,Vancouver,Downtown,1055 Richards Street,Donovan,V6B 0C2,BCS3395,Crosby ,Concrete,2009,http://www.vancouvercondos.com/Donovan
199,Vancouver,Downtown,788 Hamilton Street,TV Towers 1,V6B 0E9,BCS3407,Rancho,Concrete,2009,http://www.vancouvercondos.com/TVTowers1
30,Burnaby,Metrotown,5000 Imperial Street,Luna,V5J 1C8,BCS3418,TML,Wood Frame,2009,http://www.burnabycondo.com/luna-5000-imperial-street-burnaby
171,Burnaby,Highgate,"7328 Arcola Street
",Esprit,V5E 0A7,BCS3425,604 Real Estate,Concrete,2009,http://www.burnabycondo.com/esprit-7328-arcola-street-burnaby
149,Burnaby,Highgate,7325 Arcola Street,Esprit 2,V5E 0A8,BCS3425,604 Real Estate,Concrete,2009,http://www.burnabycondo.com/esprit-2-7325-arcola-street-burnaby
459,Vancouver,Mount Pleasant,633 Abbott Street,Espana 3,V6B 0J3,BCS3437,Colyvan Pacific,Concrete,2009,http://bccondos.net/633-abbott
198,Vancouver,Downtown,689 Abbott Street,Espana,V6B 0J2,BCS3437,Colyvan Pacific ,Concrete,2009,http://www.vancouvercondos.com/EspanaA
156,Coquitlam,Westwood Plateau,3110 Dayanee Springs Boulevard,"Dayanee Springs ""Ledgeview""",,BCS3507,Gateway,Frame - Wood,2009,http://bccondos.net/ledgeview
364,Vancouver,Downtown,128 Cordova Street,Woodward W-43,V6B 0E6,BCS3528,Dodwell Realty,Concrete,2009,http://www.vancouvercondos.com/WoodwardsW43#
165,Burnaby,Metrotown,5881 - 5889 Irmin Street,MacPherson Walk East,V5J 0C5,BCS3540,Crosby, Wood Frame,2009,http://www.burnabycondo.com/macpherson-walk-east-5881-5889-irmin-street-burnaby
153,Vancouver,Downtown,565 Smithe Street,Vita,V6B 0E4,BCS3550,Crosby,Concrete,2009,http://www.vancouvercondos.com/Vita
170,Vancouver,Downtown,108 Cordova Street,WoodwardsW32,V6B 0G5,BCS3625,Dodwell Realty ,Concrete,2009,http://www.vancouvercondos.com/WoodwardsW32
239,New Westminster,Downtown,888 Carnarvon Street,Marinus,V3M 1G2,BCS3644,The Centre Pacific Group,Concrete,2009,http://bccondos.net/marinus
109,Vancouver,Downtown,1205 Howe Street,Alto,V6Z 0B2,BCS3664,Rancho ,Concrete,2010,http://www.vancouvercondos.com/Alto
162,New Westminster,Quayside,14 Begbie Street,Interurban,V3M 3L9,BCS3665,Strata West,Concrete,2009,http://bccondos.net/interurban
43,Vancouver,Yaletown,1560 Homer Mews,Erickson,V6Z 0A5,BCS3702,Rancho,Concrete,2010,http://bccondos.net/erickson
72,New Westminster,Victoria Hill,225 Francis Way,Whittaker,V3L 5E8,BCS3735,Baywest,Frame -Wood,2010,http://bccondos.net/whittaker
134,Burnaby,Metrotown,6188 Wilson Avenue,Jewel,V5H 2R8,BCS3801,Colyvan,Concrete,2010,http://www.burnabycondo.com/jewel-6188-wilson-avenue-burnaby
194,New Westminster,Victoria Hill,280 Ross Drive,Carlyle,V3L 0C7,BCS3832,Baywest,Concrete,2010,http://bccondos.net/carlyle
125,Vancouver,Mount Pleasant,2321 Scotia Street,Social,V5T 4L7,BCS4075,Rancho,Concrete,2011,http://bccondos.net/social
,Burnaby,Metrotown,5368 Grimmer Street,Phoenix,V5H 2G1,BCS4286,Pacifica,Wood Frame,2011,http://www.burnabycondo.com/phoenix-5368-grimmer-street-burnaby
129,Vancouver,Yaletown,1483 Homer Mews,Waterford, V6Z 3C7,BCS435,Rancho,Concrete,2003,http://bccondos.net/waterford
191,Vancouver,Coal Harbour,1328 W Pender Street,Classico,V6E 4T1,BCS460,Vancouver Condo,Concrete,2003,http://bccondos.net/classico
102,Vancouver,Downtown,1238 Burrard Street,Altadena, V6Z 3E1,BCS478,Pacific Quorum,Concrete,2003,http://www.vancouvercondos.com/Altadena
26,Vancouver,Downtown,310 Water Street,Taylor Building,V6B 1B6,BCS521,Crosby,Concrete,2003,http://www.vancitycondo.com/taylor-building-310-water-street-vancouver
135,Vancouver,Downtown,1055 Homer Street,Domus,V6B 1G3,BCS528,Rancho ,Concrete,2003,http://www.vancouvercondos.com/Domus
237,Vancouver,Coal Harbour,590 Nicola Street,Cascina,V6G 3J8,BCS535,Strata West,Concrete,2001,http://www.6717000.com/cascina/info-07.html
237,Vancouver,Coal Harbour,499 Broughton Street,Denia,V6G 3K1,BCS535,Strata West,Concrete,2003,http://www.6717000.com/denia/info-08.html
227,Coquitlam,Westwood Plateau,2969 Whisper Way,"Silver Springs ""Summerlin""",,BCS542,Gateway,Frame - Wood,2006,http://bccondos.net/2969-whisper
227,Coquitlam,Westwood Plateau,2958 Whisper Way,"Silver Springs ""Summerlin""",,BCS542,Gateway,Frame - Wood,2006,http://bccondos.net/summerlin
227,Coquitlam,Westwood Plateau,2988 Silver Springs Boulevard,"Silver Springs ""Trillium""",,BCS542,Gateway,Frame - Wood,2004,http://bccondos.net/trillium
227,Coquitlam,Westwood Plateau,2998 Silver Springs Boulevard,"Silver Springs ""Trillium""",,BCS542,Gateway,Frame - Wood,2003,http://bccondos.net/2998-silver-springs
158,Vancouver,Downtown,1010 Richards Street,Gallery,V6B 1G2,BCS552,Crosby,Concrete,2002,http://www.vancouvercondos.com/Gallery
75,Vancouver,Coal Harbour,1650 Bayshore Drive,Bayshore Gardens,V6G 3K2,BCS555,Crosby,Concrete,2003,http://bccondos.net/1650-bayshore
207,Vancouver,Yaletown,1438 Richards Street,Azura 1,V6Z 3B8,BCS679,Rancho,Concrete,2004,http://bccondos.net/azura-i
184,Vancouver,Downtown,1001 Richards Street,Miro,V6B 1J6,BCS682,Vancouver Condominium,Concrete,2004,http://www.vancouvercondos.com/Miro
166,Vancouver,Downtown,989 Beatty Street,Nova,V6Z 3C2,BCS741,Awm Alliance,Concrete,2004,http://bccondos.net/989-beatty
15,Vancouver,Downtown,499 Drake Street,grace,V6B 1B1,BCS747,National Pacific,Concrete,2004,http://www.vancouvercondos.com/Grace
57,Burnaby,Highgate,7330 Salisbury Avenue,Botanica,V5E 3A3,BCS805,Crosby,Wood Frame,2005,http://www.burnabycondo.com/botanica-7330-salisbury-avenue-burnaby
24,Vancouver,Downtown,345 Water Street,Greenshields,V6B 1B8,BCS849,Baywest,Concrete,2004,http://www.vancitycondo.com/greenshields-345-water-street-vancouver
200,Vancouver,Yaletown,1495 Richards Street,Azura 2,V6Z 3E3,BCS890,Crosby,Concrete,2004,http://bccondos.net/azura-ii
132,Vancouver,Mount Pleasant,120 Milross Avenue,Brighton, V6A 4K7,BCS966,Wynford,Concrete,2004,http://bccondos.net/120-milross
IN DEVELOPMENT,Vancouver,Coal Harbour,1255 West Pender,The Views,V6E 2V1,IN DEVELOPMENT,IN DEVELOPMENT,IN DEVELOPMENT,IN DEVELOPMENT,
12,Vancouver,Downtown,1168 Richards Street,1168 Richards,V6B 3E6,KAP16106,R. Jang & Associates,Concrete,2006,http://www.vancouvercondos.com/1168Richards
49,Vancouver,Coal Harbour,1478 W Hastings Street,Dockside,V6G 3J6,LMP12354,Awm Alliance,Concrete,2002,http://bccondos.net/1478-west-hastings
23,Burnaby,Central Burnaby,4181 Norfolk Street,Norfork Place,V5G 1G8,LMS 3453,Castle,Wood Frame,1998,http://www.burnabycondo.com/norfork-place-4181-norfolk-street-burnaby
24,Burnaby,Metrotown,6688 Burlington Avenue,6688 Burlington,V5H 3M9,LMS 610,Pacific Quorum,Frame - Wood,1993,http://bccondos.net/6688-burlington
49,New Westminster,Downtown,328 Clarkson Street,Highbourne Tower,V3L 5N9,LMS1014,Baywest,Concrete,1993,http://bccondos.net/highbourne-tower
160,Burnaby,Central Burnaby,3733 Norfolk Street,Winchelsea - 3733 Norfolk,V5G 1E3,LMS1035,Ascent,Wood Frame,1994,http://www.burnabycondo.com/winchelsea-3733-norfolk-3733-norfolk-street-burnaby
160,Burnaby,Central Burnaby,3738 Norfolk Street,Winchelsea - 3738 Norfolk,V5G 1E3,LMS1035,Ascent,Wood Frame,1994,http://www.burnabycondo.com/winchelsea-3738-norfolk-3738-norfolk-street-burnaby
57,Burnaby,Central Burnaby,3183 Esmond Avenue,Winchelsea - 3183 Esmond,V5G 1B9,LMS1035,AWM ALLIANCE,Wood Frame,1995,http://www.burnabycondo.com/winchelsea-3183-esmond-3183-esmond-avenue-burnaby
30,Burnaby,Metrotown,7188 Royal Oak Avenue,Victory Court,V5J 4J4,LMS1065,Bayside,Wood Frame,1993,http://www.burnabycondo.com/victory-court-7188-royal-oak-avenue-burnaby
125,New Westminster,Quayside,8 Laguna Court,Excelsior,V3M 6M6,LMS108,Ascent,Concrete,1992,http://bccondos.net/the-excelsior
91,Vancouver,Downtown,212 Davie Street,Parkview Gardens,V6B 5Z4,LMS1104,Assertive ,,1994,http://www.vancouvercondos.com/ParkviewGardens
147,Vancouver,Mount Pleasant,1128 Quebec Street,City Gate 3,V6A 4E1,LMS1108,Wynford,Concrete,1994,http://www.6717000.com/1128quebec/info-091.html
